are:	parameters		p	q	r	s
-119.5372	46.7273	0.04	3.05749688374	-0.185611055335	-119.521737283	46.9126092174
-121.9855	47.0957	0.04	1.37127398509	0.113330697762	-121.989770753	46.9824066818
-118.2583	46.6922	9.53	3.93485204376	-0.163599097628	-118.240795721	46.8553592622
-121.9662	46.9362	13.52	1.3885484347	-0.0457761624095	-121.964458468	46.9819607277
-123.86	47.18	12.80	0.0951580526825	0.180085025351	-123.860471876	46.9999152612
-121.9292	46.9485	8.98	1.41347877866	-0.0328187660694	-121.927928737	46.9813072969
-119.9903	46.9562	2.54	2.7356559465	0.0262100609703	-119.992262812	46.9300242185
-122.0202	46.8732	6.54	1.35328042562	-0.109700361845	-122.016137197	46.9828652691
-120.8812	46.9413	4.82	2.1287906659	-0.0163256810004	-120.880248253	46.9576127479
-121.9417	46.939	8.37	1.40519808847	-0.0425403147782	-121.9400621	46.9815256245
-121.9273	46.8352	7.97	1.41777230814	-0.146044829946	-121.921637639	46.9811935898
-120.6963	46.8702	10.39	2.25792126639	-0.0821906255499	-120.691225225	46.9523174811
-121.7593	46.845	1.29	1.53237754279	-0.133085674306	-121.753722391	46.9780311204
-121.757	46.8463	1.46	1.53391283337	-0.131741201073	-121.751473078	46.9779870887
-121.7613	46.8453	0.03	1.53100157858	-0.132824894804	-121.755738282	46.9780705452
-121.7513	46.8412	1.77	1.53795615331	-0.13672736823	-121.745549336	46.9778709169
-121.7592	46.8427	1.49	1.53251168238	-0.135382777935	-121.753525866	46.9780272751
-121.7563	46.8432	1.60	1.53448016997	-0.134826223815	-121.750641889	46.9779708066
-121.7692	46.8438	0.68	1.52564309658	-0.134478382134	-121.763588891	46.9782237418
-121.7578	46.8402	1.49	1.53354043204	-0.137854362524	-121.752018672	46.9779977731
-121.2133	46.884	0.99	1.9042488255	-0.0821316041154	-121.209020672	46.9660795888
-121.98	46.9388	9.58	1.37906174923	-0.0434207666627	-121.978359275	46.9822063247
-121.4597	47.1498	14.33	1.72732114819	0.177805155248	-121.468146625	46.9720879725
-121.7548	46.8473	0.98	1.53538827565	-0.130698520362	-121.74931145	46.977944732
-121.6023	46.7762	7.90	1.64181980645	-0.198675382233	-121.593390969	46.9747820195
-121.7502	46.8533	1.25	1.53836087449	-0.124610759071	-121.744956393	46.9778592717
-121.761	46.8518	1.02	1.53102096427	-0.126321686172	-121.75570988	46.97806999
-120.9487	46.833	1.44	2.08695706329	-0.126357514585	-120.94149271	46.9592615017
-119.6165	46.8835	0.34	2.99449381852	-0.0327212683225	-119.613822259	46.9161700755
-119.6192	46.884	0.40	2.9926233628	-0.0323251733832	-119.616556295	46.9162746629
-121.9343	46.9207	8.59	1.4107313117	-0.0607009981442	-121.931954479	46.9813798783
-119.6213	46.8803	2.35	2.99139689926	-0.0360995640219	-119.618349016	46.9163432058
-119.6182	46.9012	0.72	2.99234468646	-0.0151138593306	-119.616963635	46.9162902396
-121.7643	46.8572	2.41	1.52861098419	-0.120988320337	-121.75924069	46.9781389575
-120.6892	46.8287	10.24	2.26452374179	-0.123448793255	-120.681561453	46.9520383743
-120.392	46.9692	0.47	2.46119843211	0.0258758372671	-120.393744357	46.9433515692
-121.928	46.9707	1.01	1.41371065899	-0.0106048735747	-121.927588973	46.9813011647
-121.9802	46.944	9.10	1.37879120109	-0.0382260145586	-121.97875571	46.9822133042
-121.9125	46.9065	7.43	1.42599399646	-0.0745013681739	-121.909590879	46.9809748901
-120.9325	47.0303	3.51	2.09030986402	0.0712239296258	-120.936584066	46.9591305643
-120.6855	46.8478	16.55	2.26624532296	-0.104258893625	-120.679041662	46.9519654642
-120.6812	46.8273	17.15	2.27005158836	-0.12461607441	-120.673470649	46.95180407
-120.9602	46.8973	6.93	2.07660174282	-0.0624115958978	-120.956653495	46.9596645852
-119.3422	46.7392	2.34	3.19023155265	-0.165959472884	-119.327773694	46.9048656319
-121.7578	46.8537	2.04	1.53315415013	-0.12435989006	-121.752584604	46.978008853
-122.0062	47.1702	13.46	1.35529085808	0.187446145925	-122.013191234	46.9828143311
-122.8733	47.089	54.43	0.76710116657	0.0945161587995	-122.875292799	46.9944935978
-120.9533	46.8387	1.62	2.083590885	-0.120784242702	-120.946420964	46.9593927506
-118.273	46.7198	16.06	3.92278168952	-0.136809506411	-118.258399195	46.8562437539
-120.9883	46.8242	7.54	2.06022397796	-0.13619885035	-120.980631949	46.9602980083
-121.9588	46.8705	5.95	1.39531099111	-0.111322482941	-121.954549396	46.9817846276
-121.9085	46.915	6.06	1.42849891619	-0.0659315257025	-121.905920586	46.9809080073
-122.8418	47.1272	43.00	0.787981344527	0.13302472438	-122.844683111	46.9941897754
-123.7082	47.0363	8.48	0.198871455643	0.0366703673052	-123.708400271	46.9996298869
